lemme,cgram,gender,freqlivres_total,french_formatted,english
phonographe,NOM,m,6.0200000000000005,le phonographe,the phonograph
aga,NOM,m,6.0200000000000005,le aga,the trend
scintillant,ADJ,,6.0200000000000005,scintillant,sparkling
désordonné,ADJ,,6.0200000000000005,désordonné,messy
tirage,NOM,m,6.0200000000000005,le tirage,the draw
affleurer,VER,,6.0200000000000005,affleurer,to flush
penchant,NOM,m,6.0200000000000005,le penchant,the inclination
magistrat,NOM,m,6.02,le magistrat,the magistrate
pie,NOM,f,6.02,la pie,the foot
rêvasser,VER,,6.02,rêvasser,daydream
mêlé,ADJ,,6.02,mêlé,mixed
persuadé,ADJ,,6.02,persuadé,convinced
ondulation,NOM,f,6.02,la ondulation,the ripple
sommer,VER,,6.02,sommer,summer
crampe,NOM,f,6.02,la crampe,for cramps
machinal,ADJ,,6.02,machinal,machinal
hacher,VER,,6.02,hacher,hacher
bitume,NOM,m,6.02,le bitume,bitumen
sous-entendu,NOM,m,6.02,le sous-entendu,the implication
centrale,NOM,f,6.010000000000001,la centrale,the power plant
pelote,NOM,f,6.010000000000001,la pelote,the ball
grammaire,NOM,f,6.01,la grammaire,grammar
bruyère,NOM,f,6.01,la bruyère,the heather
articulation,NOM,f,6.01,la articulation,the articulation
contre-jour,NOM,m,6.01,le contre-jour,backlight
tympan,NOM,m,6.01,le tympan,the eardrum
champêtre,ADJ,,6.01,champêtre,rural
frôlement,NOM,m,6.01,le frôlement,the brushing
fonctionnement,NOM,m,6.01,le fonctionnement,the operation
mirette,NOM,f,6.01,la mirette,the eye
salement,ADV,,6.01,salement,dirty
porte-monnaie,NOM,m,6.01,le porte-monnaie,the purse
indéfinissable,ADJ,,6.01,indéfinissable,indefinable
fourbu,ADJ,,6.01,fourbu,exhausted
migraine,NOM,f,6.01,la migraine,migraine
tif,NOM,m,6.01,le tif,the tif
naïvement,ADV,,6.01,naïvement,naively
mention,NOM,f,6.01,la mention,the mention
crac,NOM,m,6.01,le crac,the crack
attribut,NOM,m,6.01,le attribut,the attribute
pelage,NOM,m,6.01,le pelage,the coat
intérieurement,ADV,,6.01,intérieurement,internally
concentré,ADJ,,6.01,concentré,concentrate
enclos,NOM,m,6.01,le enclos,the enclosure
bourrasque,NOM,f,6.01,la bourrasque,the squall
appliqué,ADJ,,6.0,appliqué,applied
embaucher,VER,,5.98,embaucher,to hire
éprendre,VER,,5.97,éprendre,to fall in love
espacer,VER,,5.97,espacer,space
écosser,VER,,5.960000000000001,écosser,shell
assortir,VER,,5.96,assortir,match
exilé,NOM,m,5.96,le exilé,the exile
miteux,ADJ,,5.96,miteux,shabby
emporté,ADJ,,5.96,emporté,carried away
affliger,VER,,5.96,affliger,to afflict
incomber,VER,,5.96,incomber,to be incumbent
ténu,ADJ,,5.95,ténu,tenuous
trousseau,NOM,m,5.95,le trousseau,the keychain
divinité,NOM,f,5.95,la divinité,the divinity
raccourcir,VER,,5.95,raccourcir,shorten
héroïsme,NOM,m,5.95,le héroïsme,heroism
borgne,ADJ,,5.95,borgne,one-eyed
déroute,NOM,f,5.95,la déroute,the rout
chausson,NOM,m,5.95,le chausson,the slipper
orthodoxe,ADJ,,5.95,orthodoxe,orthodox
tête-à-tête,NOM,m,5.95,le tête-à-tête,the one-on-one
bascule,NOM,f,5.95,la bascule,the seesaw
déroulement,NOM,m,5.95,le déroulement,the course of events
compteur,NOM,m,5.95,le compteur,the counter
baroque,ADJ,,5.95,baroque,baroque
pénitence,NOM,f,5.95,la pénitence,penance
présidence,NOM,f,5.95,la présidence,the presidency
propulser,VER,,5.95,propulser,propel
superstition,NOM,f,5.95,la superstition,superstition
dévêtir,VER,,5.95,dévêtir,undress
huissier,NOM,m,5.95,le huissier,the bailiff
relique,NOM,f,5.95,la relique,the relic
durable,ADJ,,5.95,durable,durable
pliant,ADJ,,5.95,pliant,pliant
marionnette,NOM,f,5.95,la marionnette,the puppet
partition,NOM,f,5.95,la partition,the score
suinter,VER,,5.95,suinter,suinter
vioque,NOM,f,5.95,la vioque,he saw her
raviser,VER,,5.95,raviser,to change
mentalité,NOM,f,5.949999999999999,la mentalité,the mentality
demi-siècle,NOM,m,5.949999999999999,le demi-siècle,the half century
éblouissement,NOM,m,5.949999999999999,le éblouissement,the dazzle
morsure,NOM,f,5.949999999999999,la morsure,the bite
consentement,NOM,m,5.949999999999999,le consentement,consent
record,NOM,m,5.949999999999999,le record,the record
plumard,NOM,m,5.949999999999999,le plumard,the bed
enragé,ADJ,,5.94,enragé,enraged
fusion,NOM,f,5.94,la fusion,the fusion
tumultueux,ADJ,,5.94,tumultueux,tumultuous
sape,NOM,f,5.94,la sape,to dig
ogre,NOM,m,5.94,le ogre,the ogre
placide,ADJ,,5.94,placide,placid
greffe,NOM,f,5.94,la greffe,the graft
aboiement,NOM,m,5.94,le aboiement,the barking
duel,NOM,m,5.94,le duel,the duel
réservoir,NOM,m,5.94,le réservoir,the tank
arrière-pensée,NOM,f,5.94,la arrière-pensée,the ulterior motive
païen,ADJ,,5.93,païen,pagan
tracasser,VER,,5.91,tracasser,bother
angoisser,VER,,5.9,angoisser,to worry
gaffer,VER,,5.890000000000001,gaffer,gaffer
parasite,NOM,m,5.89,le parasite,the parasite
entrebâiller,VER,,5.89,entrebâiller,entrebâiller
ambulant,ADJ,,5.89,ambulant,outpatient
bobine,NOM,f,5.880000000000001,la bobine,to the coils
infirmité,NOM,f,5.880000000000001,la infirmité,the infirmity
âtre,NOM,m,5.880000000000001,le âtre,the hearth
pantin,NOM,m,5.880000000000001,le pantin,the puppet
véritablement,ADV,,5.88,véritablement,truly
gouttelette,NOM,f,5.88,la gouttelette,the droplet
translucide,ADJ,,5.88,translucide,translucent
banquet,NOM,m,5.88,le banquet,the banquet
domination,NOM,f,5.88,la domination,domination
carillon,NOM,m,5.88,le carillon,the chime
templier,NOM,m,5.88,le templier,the templar
garde-à-vous,NOM,m,5.88,le garde-à-vous,stand to attention
cafetière,NOM,f,5.88,la cafetière,the coffee maker
alternativement,ADV,,5.88,alternativement,alternately
escabeau,NOM,m,5.88,le escabeau,the stepladder
véhément,ADJ,,5.88,véhément,vehement
dangereusement,ADV,,5.88,dangereusement,dangerously
orthographe,NOM,f,5.88,la orthographe,the spelling
serpenter,VER,,5.88,serpenter,serpents
aux aguets,ADV,,5.88,aux aguets,on the lookout
aquarium,NOM,m,5.88,le aquarium,le aquarium
horloger,NOM,m,5.88,le horloger,the watchmaker
traînant,ADJ,,5.88,traînant,dragging
soumis,ADJ,,5.88,soumis,submitted
enliser,VER,,5.88,enliser,get stuck
finement,ADV,,5.88,finement,finely
écrevisse,NOM,f,5.88,la écrevisse,the crayfish
dédale,NOM,m,5.88,le dédale,the maze
compromis,NOM,m,5.88,le compromis,the compromise
libanais,ADJ,,5.88,libanais,Lebanese
diffus,ADJ,,5.87,diffus,diffuse
violacé,ADJ,,5.87,violacé,purplish
tourbillonner,VER,,5.87,tourbillonner,swirl
terreux,ADJ,,5.87,terreux,earthy
assemblage,NOM,m,5.87,le assemblage,the assembly
fripé,ADJ,,5.87,fripé,fripé
gain,NOM,m,5.87,le gain,the gain
relayer,VER,,5.8500000000000005,relayer,relay
incendier,VER,,5.83,incendier,set fire to
inédit,ADJ,,5.83,inédit,unpublished
prélever,VER,,5.83,prélever,to collect
cocu,ADJ,,5.82,cocu,child
entrechoquer,VER,,5.82,entrechoquer,entrechoquer
hosto,NOM,m,5.82,le hosto,the hosts
assiéger,VER,,5.82,assiéger,besiege
champenois,NOM,m,5.82,le champenois,the champagne
acclamer,VER,,5.82,acclamer,cheer
rehausser,VER,,5.82,rehausser,rehausser
comprimé,NOM,m,5.82,le comprimé,the tablet
aligné,ADJ,,5.82,aligné,aligned
dure,NOM,f,5.82,la dure,the hard one
maquisard,NOM,m,5.82,le maquisard,the maquisard
bosquet,NOM,m,5.82,le bosquet,the grove
carnaval,NOM,m,5.819999999999999,le carnaval,the carnival
épuisant,ADJ,,5.819999999999999,épuisant,exhausting
capturer,VER,,5.8100000000000005,capturer,capture
épi,NOM,m,5.8100000000000005,le épi,the ear
calot,NOM,m,5.8100000000000005,le calot,the cap
casse,NOM,f,5.8100000000000005,la casse,the breakage
signé,ADJ,,5.8100000000000005,signé,sign
trouée,NOM,f,5.8100000000000005,la trouée,the gap
ancre,NOM,f,5.8100000000000005,la ancre,the anchor
émeute,NOM,f,5.8100000000000005,la émeute,the riot
croisière,NOM,f,5.8100000000000005,la croisière,the cruise
pastille,NOM,f,5.8100000000000005,la pastille,the lozenge
terre-plein,NOM,m,5.8100000000000005,le terre-plein,the central reservation
dévouer,VER,,5.8100000000000005,dévouer,devote
quille,NOM,f,5.8100000000000005,la quille,the keel
sénéchal,NOM,m,5.8100000000000005,le sénéchal,the seneschal
aubaine,NOM,f,5.81,la aubaine,the windfall
notoire,ADJ,,5.81,notoire,notorious
chaudron,NOM,m,5.81,le chaudron,the cauldron
frivole,ADJ,,5.81,frivole,frivolous
éventuellement,ADV,,5.81,éventuellement,possibly
nymphe,NOM,f,5.81,la nymphe,the nymph
simultanément,ADV,,5.81,simultanément,simultaneously
illusoire,ADJ,,5.81,illusoire,illusory
aucunement,ADV,,5.81,aucunement,not at all
gourde,NOM,f,5.81,la gourde,la gourde
cycle,NOM,m,5.81,le cycle,the cycle
contrainte,NOM,f,5.81,la contrainte,the constraint
noisette,NOM,f,5.81,la noisette,the hazelnut
compensation,NOM,f,5.81,la compensation,compensation
adonner,VER,,5.7700000000000005,adonner,to indulge
bomber,VER,,5.7700000000000005,bomber,bomber
hitlérien,ADJ,,5.760000000000001,hitlérien,hitlerian
déchiqueter,VER,,5.76,déchiqueter,shred
beugler,VER,,5.76,beugler,beugler
étourdi,ADJ,,5.76,étourdi,dizzy
citadin,NOM,m,5.76,le citadin,the city dweller
bronzer,VER,,5.75,bronzer,bronzer
universitaire,ADJ,,5.75,universitaire,university
feutré,ADJ,,5.75,feutré,felt
imprudent,ADJ,,5.75,imprudent,imprudent
mie,NOM,f,5.75,la mie,to you
bignole,NOM,f,5.75,la bignole,the cream puff
dispositif,NOM,m,5.75,le dispositif,the device
rêne,NOM,f,5.75,la rêne,the rein
inéluctable,ADJ,,5.75,inéluctable,inevitable
rappliquer,VER,,5.75,rappliquer,to apply
délivrance,NOM,f,5.75,la délivrance,deliverance
daim,NOM,m,5.75,le daim,the piece
entêtement,NOM,m,5.75,le entêtement,stubbornness
perçant,ADJ,,5.75,perçant,piercing
paperasse,NOM,f,5.75,la paperasse,the paperwork
bougonner,VER,,5.75,bougonner,grumble
siroter,VER,,5.75,siroter,sip
concéder,VER,,5.75,concéder,grant
indiscrétion,NOM,f,5.75,la indiscrétion,the indiscretion
dictateur,NOM,m,5.75,le dictateur,the dictator
furie,NOM,f,5.74,la furie,in anger
entracte,NOM,m,5.74,le entracte,the intermission
chaire,NOM,f,5.74,la chaire,the chair
fréquentation,NOM,f,5.74,la fréquentation,attendance
démocratique,ADJ,,5.74,démocratique,democratic
parage,NOM,m,5.74,le parage,the trimming
accessible,ADJ,,5.74,accessible,accessible
humus,NOM,m,5.74,le humus,the humus
arbitraire,ADJ,,5.74,arbitraire,arbitrary
statut,NOM,m,5.74,le statut,the status
conjuguer,VER,,5.74,conjuguer,conjugate
klaxon,NOM,m,5.74,le klaxon,the horn
vraisemblable,ADJ,,5.74,vraisemblable,likely
broche,NOM,f,5.74,la broche,the brooch
miroiter,VER,,5.74,miroiter,mirror
hormis,PRE,,5.74,hormis,except
dément,ADJ,,5.74,dément,insane
arsenal,NOM,m,5.74,le arsenal,the arsenal
densité,NOM,f,5.74,la densité,density
omoplate,NOM,f,5.74,la omoplate,the shoulder blade
canaille,ADJ,,5.74,canaille,scoundrel
taquiner,VER,,5.74,taquiner,tease
clochette,NOM,f,5.74,la clochette,the bell
varié,ADJ,,5.74,varié,varied
otage,NOM,m,5.74,le otage,the hostage
béatitude,NOM,f,5.74,la béatitude,bliss
extrait,NOM,m,5.739999999999999,le extrait,the extract
endosser,VER,,5.72,endosser,endorse
gober,VER,,5.71,gober,government
ballotter,VER,,5.7,ballotter,ballotter
égayer,VER,,5.7,égayer,brighten up
agrémenter,VER,,5.69,agrémenter,to embellish
spécialiser,VER,,5.69,spécialiser,specialize
effriter,VER,,5.680000000000001,effriter,crumble
sofa,NOM,m,5.680000000000001,le sofa,the sofa
sentence,NOM,f,5.680000000000001,la sentence,the sentence
aimant,NOM,m,5.680000000000001,le aimant,the magnet
agonisant,NOM,m,5.680000000000001,le agonisant,the dying one
centime,NOM,m,5.680000000000001,le centime,the cent
haussement,NOM,m,5.680000000000001,le haussement,the rise
diplomatie,NOM,f,5.68,la diplomatie,diplomacy
thune,NOM,f,5.68,la thune,in Thun
provocant,ADJ,,5.68,provocant,provoking
gelé,ADJ,,5.68,gelé,jelly
vulgarité,NOM,f,5.68,la vulgarité,vulgarity
bricole,NOM,f,5.68,la bricole,the tinkering
supermarché,NOM,m,5.68,le supermarché,the supermarket
hum,ONO,,5.68,hum,hum
éperdument,ADV,,5.68,éperdument,desperately
pépère,ADJ,,5.68,pépère,grandpa
blues,NOM,m,5.68,le blues,the blues
housse,NOM,f,5.68,la housse,the cover
festin,NOM,m,5.68,le festin,the feast
associé,NOM,m,5.68,le associé,the partner
caveau,NOM,m,5.68,le caveau,the cellar
parlement,NOM,m,5.68,le parlement,the parliament
chenille,NOM,f,5.68,la chenille,the caterpillar
inconcevable,ADJ,,5.68,inconcevable,inconceivable
répertoire,NOM,m,5.68,le répertoire,the directory
clignoter,VER,,5.68,clignoter,flash
cabas,NOM,m,5.68,le cabas,the shopping bag
apeuré,ADJ,,5.68,apeuré,scared
mouflet,NOM,m,5.68,le mouflet,the kid
vraisemblablement,ADV,,5.68,vraisemblablement,probably
intrus,NOM,m,5.67,le intrus,the intruder
revenant,NOM,m,5.67,le revenant,the ghost
palette,NOM,f,5.67,la palette,the paddle
hochement,NOM,m,5.67,le hochement,the nod
angélique,ADJ,,5.67,angélique,angelic
étrangeté,NOM,f,5.67,la étrangeté,the strangeness
guitoune,NOM,f,5.67,la guitoune,the hut
mosquée,NOM,f,5.67,la mosquée,the mosque
avalanche,NOM,f,5.67,la avalanche,the avalanche
biberon,NOM,m,5.67,le biberon,the bottle
latéral,ADJ,,5.67,latéral,lateral
défoncé,ADJ,,5.67,défoncé,stoned
rédacteur,NOM,m,5.67,le rédacteur,the editor
déchirement,NOM,m,5.67,le déchirement,the tearing
mordiller,VER,,5.63,mordiller,to nibble
nicher,VER,,5.63,nicher,niches
botter,VER,,5.63,botter,butter
relater,VER,,5.63,relater,to relate
brasser,VER,,5.63,brasser,brew
glousser,VER,,5.63,glousser,chuckle
hâtif,ADJ,,5.62,hâtif,hasty
affermir,VER,,5.62,affermir,to strengthen
tout-puissant,ADJ,,5.62,tout-puissant,almighty
actionner,VER,,5.62,actionner,activate
sévir,VER,,5.62,sévir,to crack down
prétexter,VER,,5.62,prétexter,pretend
perfectionner,VER,,5.62,perfectionner,to perfect
mongol,ADJ,,5.62,mongol,mongol
léguer,VER,,5.62,léguer,to bequeath
auxiliaire,NOM,m,5.619999999999999,le auxiliaire,the auxiliary
salopette,NOM,f,5.61,la salopette,the overalls
feint,ADJ,,5.61,feint,feint
noiraud,ADJ,,5.61,noiraud,noiraud
grésiller,VER,,5.61,grésiller,sizzle
vinaigre,NOM,m,5.61,le vinaigre,vinegar
mi,NOM,m,5.61,le mi,my
froncé,ADJ,,5.61,froncé,gathered
superficiel,ADJ,,5.61,superficiel,superficial
rageusement,ADV,,5.61,rageusement,angrily
trembloter,VER,,5.61,trembloter,flicker
test,NOM,m,5.61,le test,the test
naissant,ADJ,,5.61,naissant,nascent
sinueux,ADJ,,5.61,sinueux,winding
bombé,ADJ,,5.61,bombé,bomb
guillotine,NOM,f,5.61,la guillotine,the guillotine
rigole,NOM,f,5.61,la rigole,the gutter
affreusement,ADV,,5.61,affreusement,horribly
butin,NOM,m,5.61,le butin,the loot
poindre,VER,,5.61,poindre,to dawn
opium,NOM,m,5.61,le opium,the opium
dénuder,VER,,5.61,dénuder,strip
ver,NOM,m,5.61,le ver,the worm
écorché,ADJ,,5.61,écorché,skinned
méditerranéen,ADJ,,5.61,méditerranéen,Mediterranean
courroie,NOM,f,5.609999999999999,la courroie,the belt
triporteur,NOM,m,5.609999999999999,le triporteur,the three-wheeler
patin,NOM,m,5.609999999999999,le patin,the skate
précoce,ADJ,,5.609999999999999,précoce,early
sous-lieutenant,NOM,m,5.609999999999999,le sous-lieutenant,the second lieutenant
habitation,NOM,f,5.609999999999999,la habitation,the dwelling
dentiste,NOM,m,5.609999999999999,le dentiste,the dentist
hypocrisie,NOM,f,5.609999999999999,la hypocrisie,hypocrisy
rhume,NOM,m,5.609999999999999,le rhume,the cold
nostalgique,ADJ,,5.609999999999999,nostalgique,nostalgic
moniteur,NOM,m,5.609999999999999,le moniteur,the monitor
judiciaire,ADJ,,5.609999999999999,judiciaire,judicial
somnambule,NOM,m,5.609999999999999,le somnambule,the sleepwalker
délirant,ADJ,,5.609999999999999,délirant,delusional
protocole,NOM,m,5.609999999999999,le protocole,the protocol
interruption,NOM,f,5.6000000000000005,la interruption,the interruption
convulsion,NOM,f,5.6000000000000005,la convulsion,the seizure
clairon,NOM,m,5.6000000000000005,le clairon,the bugle
morue,NOM,f,5.6000000000000005,la morue,cod
hirsute,ADJ,,5.6,hirsute,hirsute
mortier,NOM,m,5.6,le mortier,the mortar
engourdi,ADJ,,5.6,engourdi,numb
attelage,NOM,m,5.6,le attelage,the hitch
hallucination,NOM,f,5.6,la hallucination,la hallucination
voûter,VER,,5.57,voûter,to vault
torcher,VER,,5.5600000000000005,torcher,torcher
entrecroiser,VER,,5.5600000000000005,entrecroiser,intertwine
culbuter,VER,,5.5600000000000005,culbuter,to tumble
inaugurer,VER,,5.5600000000000005,inaugurer,inaugurate
délimiter,VER,,5.56,délimiter,delimit
ascendant,NOM,m,5.550000000000001,le ascendant,the ascendant
ancrer,VER,,5.550000000000001,ancrer,anchor
hoqueter,VER,,5.55,hoqueter,hiccup
remorque,NOM,f,5.55,la remorque,the trailer
fascinant,ADJ,,5.55,fascinant,fascinating
ravage,NOM,m,5.55,le ravage,the ravage
confident,NOM,m,5.55,le confident,the confidant
faner,VER,,5.55,faner,flag
rousseur,NOM,f,5.55,la rousseur,freckles
enflé,ADJ,,5.55,enflé,swollen
engourdissement,NOM,m,5.55,le engourdissement,the numbness
dilater,VER,,5.55,dilater,expand
sainteté,NOM,f,5.55,la sainteté,holiness
bourdon,NOM,m,5.540000000000001,le bourdon,the bumblebee
résine,NOM,f,5.54,la résine,the resin
hâtivement,ADV,,5.54,hâtivement,hastily
marchepied,NOM,m,5.54,le marchepied,the step stool
conduit,NOM,m,5.54,le conduit,the conduit
irlandais,ADJ,,5.54,irlandais,Irish
perplexité,NOM,f,5.54,la perplexité,perplexity
symphonie,NOM,f,5.54,la symphonie,the symphony
arène,NOM,f,5.54,la arène,the arena
satyre,NOM,m,5.54,le satyre,the satyr
docilement,ADV,,5.54,docilement,obediently
déshabillé,NOM,m,5.54,le déshabillé,the undressed
piéton,NOM,m,5.54,le piéton,the pedestrian
grippe,NOM,f,5.54,la grippe,the flu
pupille,NOM,f,5.54,la pupille,the pupil
chimère,NOM,f,5.54,la chimère,the chimera
désintéresser,VER,,5.54,désintéresser,disinterest
soudainement,ADV,,5.54,soudainement,suddenly
étal,NOM,m,5.54,le étal,the stall
saillie,NOM,f,5.54,la saillie,the projection
médiocrité,NOM,f,5.54,la médiocrité,mediocrity
béat,ADJ,,5.54,béat,blissful
sadique,ADJ,,5.54,sadique,sadistic
manifeste,ADJ,,5.54,manifeste,manifest
foot,NOM,m,5.54,le foot,football
infidèle,ADJ,,5.54,infidèle,unfaithful
automate,NOM,m,5.54,le automate,the automaton
stage,NOM,m,5.54,le stage,the traineeship
cuirassier,NOM,m,5.54,le cuirassier,the cuirassier
pouls,NOM,m,5.54,le pouls,the pulse
épanoui,ADJ,,5.54,épanoui,blossomed
incliné,ADJ,,5.54,incliné,inclined
insuffisant,ADJ,,5.54,insuffisant,insufficient
trimestre,NOM,m,5.54,le trimestre,the quarter
tambouriner,VER,,5.54,tambouriner,tambouriner
douloureusement,ADV,,5.54,douloureusement,painfully
mousseux,ADJ,,5.54,mousseux,sparkling
peluche,NOM,f,5.54,la peluche,the stuffed animal
nombril,NOM,m,5.54,le nombril,the tummy-button
déserteur,NOM,m,5.539999999999999,le déserteur,the deserter
annuler,VER,,5.5,annuler,to cancel
reluquer,VER,,5.5,reluquer,reluquer
défaillir,VER,,5.49,défaillir,to fail
explosif,NOM,m,5.49,le explosif,the explosive
approprier,VER,,5.49,approprier,appropriate
consigner,VER,,5.49,consigner,to record
énergique,ADJ,,5.48,énergique,energetic
glaçon,NOM,m,5.48,le glaçon,the ice cube
assener,VER,,5.48,assener,assent
bariolé,ADJ,,5.48,bariolé,colorful
cote,NOM,f,5.48,la cote,at odds
environner,VER,,5.48,environner,surrounding
accablé,ADJ,,5.48,accablé,overwhelmed
convenance,NOM,f,5.48,la convenance,convenience
démission,NOM,f,5.48,la démission,the resignation
accordéon,NOM,m,5.48,le accordéon,the accordion
trio,NOM,m,5.48,le trio,the trio
grandissant,ADJ,,5.48,grandissant,growing
proue,NOM,f,5.48,la proue,the bow
catégorique,ADJ,,5.48,catégorique,categorical
acheteur,NOM,m,5.470000000000001,le acheteur,the buyer
caïque,NOM,m,5.470000000000001,le caïque,the caique
d,PRE,,5.470000000000001,d,d
loupe,NOM,f,5.470000000000001,la loupe,the magnifying glass
réconciliation,NOM,f,5.470000000000001,la réconciliation,reconciliation
sourdre,VER,,5.470000000000001,sourdre,to deafen
lourdeur,NOM,f,5.470000000000001,la lourdeur,the heaviness
phono,NOM,m,5.470000000000001,le phono,the phono
bouée,NOM,f,5.47,la bouée,the buoy
déplaisant,ADJ,,5.47,déplaisant,unpleasant
mortuaire,ADJ,,5.47,mortuaire,mortuary
fronton,NOM,m,5.47,le fronton,the pediment
carafe,NOM,f,5.47,la carafe,the carafe
changeant,ADJ,,5.47,changeant,changing
délibérément,ADV,,5.47,délibérément,deliberately
verdict,NOM,m,5.47,le verdict,the verdict
syrte,NOM,f,5.47,la syrte,the syrte
phosphorescent,ADJ,,5.47,phosphorescent,phosphorescent
divertissement,NOM,m,5.47,le divertissement,entertainment
buvard,NOM,m,5.47,le buvard,the blotter
coke,NOM,m,5.47,le coke,coke them
paluche,NOM,f,5.47,la paluche,the finger
processus,NOM,m,5.47,le processus,the process
ébauche,NOM,f,5.47,la ébauche,the draft
damné,NOM,m,5.47,le damné,the damned
assouvir,VER,,5.43,assouvir,to satisfy
barricader,VER,,5.43,barricader,barricade
collaborer,VER,,5.42,collaborer,collaborate
défigurer,VER,,5.42,défigurer,disfigure
amollir,VER,,5.42,amollir,to soften
corse,ADJ,,5.42,corse,race
obliquer,VER,,5.42,obliquer,to slant
embuer,VER,,5.42,embuer,embuer
maugréer,VER,,5.42,maugréer,to grumble
désarmé,ADJ,,5.42,désarmé,disarmed
colorier,VER,,5.42,colorier,coloring
confronter,VER,,5.42,confronter,confront
poigne,NOM,f,5.41,la poigne,the grip
grossièrement,ADV,,5.41,grossièrement,roughly
chômage,NOM,m,5.41,le chômage,unemployment
originaire,ADJ,,5.41,originaire,native
pétrifié,ADJ,,5.41,pétrifié,petrified
matraque,NOM,f,5.41,la matraque,the baton
admirateur,NOM,m,5.41,le admirateur,the admirer
stalinien,ADJ,,5.41,stalinien,Stalinist
pet,NOM,m,5.41,le pet,the pet
rosier,NOM,m,5.41,le rosier,the rosebush
taulier,NOM,m,5.41,le taulier,the boss
bétail,NOM,m,5.41,le bétail,cattle
lorgnon,NOM,m,5.41,le lorgnon,the lorgnette
navigation,NOM,f,5.41,la navigation,navigation
déployé,ADJ,,5.41,déployé,deployed
verge,NOM,f,5.41,la verge,the verge
escouade,NOM,f,5.41,la escouade,the squad
via,PRE,,5.41,via,via
instable,ADJ,,5.41,instable,unstable
correctement,ADV,,5.41,correctement,correctly
réalisme,NOM,m,5.41,le réalisme,realism
clapotis,NOM,m,5.41,le clapotis,the lapping
livret,NOM,m,5.41,le livret,the booklet
panthère,NOM,f,5.41,la panthère,the panther
hi,ONO,,5.41,hi,hi
coiffe,NOM,f,5.41,la coiffe,the headdress
vacherie,NOM,f,5.41,la vacherie,the cowshed
acharné,ADJ,,5.41,acharné,relentless
restreint,ADJ,,5.41,restreint,restricted
copeau,NOM,m,5.41,le copeau,the chip
ancestral,ADJ,,5.41,ancestral,ancestral
révolté,NOM,m,5.41,le révolté,the rebel
joliment,ADV,,5.41,joliment,nicely
raton,NOM,m,5.41,le raton,the raccoon
trame,NOM,f,5.409999999999999,la trame,the plot
contrée,NOM,f,5.4,la contrée,the country
tourmenté,ADJ,,5.4,tourmenté,tormented
rai,NOM,m,5.4,le rai,the ray
accablant,ADJ,,5.4,accablant,overwhelming
flamboyant,ADJ,,5.4,flamboyant,flamboyant
spécialisé,ADJ,,5.4,spécialisé,specialized
sachet,NOM,m,5.4,le sachet,the bag
cuirassé,NOM,m,5.4,le cuirassé,the battleship
tapin,NOM,m,5.4,le tapin,the hooker
volumineux,ADJ,,5.4,volumineux,bulky
bordeaux,NOM,m,5.4,le bordeaux,Bordeaux
vipère,NOM,f,5.4,la vipère,the viper
commissure,NOM,f,5.4,la commissure,the commissure
balancement,NOM,m,5.4,le balancement,the swing
étalon,NOM,m,5.4,le étalon,the stallion
micheton,NOM,m,5.4,le micheton,the michetons
stagner,VER,,5.39,stagner,stagnate
siéger,VER,,5.37,siéger,sit
feutrer,VER,,5.36,feutrer,felt
ensuivre,VER,,5.36,ensuivre,follow
appréhender,VER,,5.36,appréhender,to apprehend
combiné,NOM,m,5.3500000000000005,le combiné,the handset
agoniser,VER,,5.3500000000000005,agoniser,to agonize
enfoiré,NOM,m,5.3500000000000005,le enfoiré,the bastard
cercler,VER,,5.35,cercler,circle
équilibrer,VER,,5.35,équilibrer,balance
assoupi,ADJ,,5.35,assoupi,dozing
divisionnaire,ADJ,,5.35,divisionnaire,divisional
lingerie,NOM,f,5.340000000000001,la lingerie,at the lingerie
bas-côté,NOM,m,5.34,le bas-côté,the side aisle
supposition,NOM,f,5.34,la supposition,the assumption
corniaud,NOM,m,5.34,le corniaud,le corniaud
lancinant,ADJ,,5.34,lancinant,throbbing
palissade,NOM,f,5.34,la palissade,the palisade
mémorable,ADJ,,5.34,mémorable,memorable
détestable,ADJ,,5.34,détestable,detestable
arbitre,NOM,m,5.34,le arbitre,the referee
réglé,ADJ,,5.34,réglé,ruler
rosé,NOM,m,5.34,le rosé,the rosé
occase,NOM,f,5.34,la occase,the occasion
interminablement,ADV,,5.34,interminablement,interminablement
biographie,NOM,f,5.34,la biographie,the biography
touché,ADJ,,5.34,touché,touch
poussé,ADJ,,5.34,poussé,pushed
orateur,NOM,m,5.34,le orateur,the speaker
remblai,NOM,m,5.34,le remblai,the embankment
affolement,NOM,m,5.34,le affolement,the panic
détremper,VER,,5.34,détremper,soak
contribution,NOM,f,5.34,la contribution,the contribution
envergure,NOM,f,5.34,la envergure,the span
paon,NOM,m,5.34,le paon,the peacock
vingt-huit,ADJ:num,,5.34,vingt-huit,twenty eight
irrémédiable,ADJ,,5.34,irrémédiable,irremediable
riposter,VER,,5.34,riposter,retaliate
résolument,ADV,,5.34,résolument,resolutely
genêt,NOM,m,5.34,le genêt,the broom
cagibi,NOM,m,5.34,le cagibi,the cages
hanneton,NOM,m,5.34,le hanneton,the cockchafer
monseigneur,NOM,m,5.34,le monseigneur,the monsignor
nacre,NOM,f,5.34,la nacre,mother of pearl
rebuter,VER,,5.34,rebuter,to reject
lavoir,NOM,m,5.34,le lavoir,the wash house
